0,5,-0.2,0,0,0,40,0.10471,0.037909
0.154,5.1838,-0.29203,0.022534,0.75868,0.0081886,39.807,0.11744,0.026677
0.4981,5.8825,-0.39778,0.091185,2.5301,0.10597,39.144,0.15548,0.012419
0.98962,6.7651,-0.33324,0.2424,5.3992,0.58064,37.977,0.20001,0.031639
1.5692,6.7309,-0.13492,0.45889,9.0073,1.9032,37.06,0.20443,0.081965
2.167,5.9535,-0.070315,0.65261,12.215,3.9054,36.745,0.18093,0.082224
2.7108,5.6878,-0.18613,0.79556,14.535,5.9582,36.367,0.17207,0.054259
3.1352,5.9514,-0.26538,0.90783,16.114,7.7608,35.805,0.17779,0.042478
3.3889,6.1738,-0.2757,0.98031,16.981,8.9578,35.388,0.17947,0.041999
3.4503,6.2243,-0.27365,0.99823,17.183,9.2647,35.285,0.17908,0.04338
3.7023,6.3875,-0.25229,1.0725,17.967,10.585,34.869,0.17454,0.045892
4.2465,6.4147,-0.17452,1.2213,19.364,13.706,34.129,0.14777,0.055212
4.973,6.0781,-0.14446,1.3688,20.568,18.029,33.453,0.10228,0.048865
5.7378,6.0415,-0.20486,1.4656,21.241,22.506,32.662,0.062156,0.035113
6.3896,6.2435,-0.21124,1.5123,21.551,26.409,31.808,0.02681,0.033268
6.7994,6.2783,-0.18972,1.5218,21.681,28.922,31.298,0.0024099,0.036252
6.9005,6.2757,-0.18417,1.5218,21.712,29.546,31.179,-0.0035866,0.037109
7.0947,6.2525,-0.17478,1.5189,21.772,30.741,30.962,-0.014913,0.038329
7.5224,6.1691,-0.16603,1.5004,21.929,33.356,30.515,-0.038691,0.039755
8.1172,6.0999,-0.18072,1.4496,22.263,36.929,29.893,-0.069527,0.03863
8.7884,6.1542,-0.19876,1.3578,22.922,40.905,29.112,-0.10332,0.039052
9.4338,6.211,-0.19278,1.2353,23.972,44.676,28.329,-0.13265,0.043907
9.9551,6.1938,-0.18386,1.1158,25.192,47.61,27.724,-0.15155,0.048122
10.273,6.1702,-0.18251,1.036,26.109,49.311,27.367,-0.16106,0.049574
10.351,6.1644,-0.18282,1.0158,26.353,49.713,27.28,-0.16318,0.049781
10.545,6.1531,-0.18449,0.96439,26.998,50.696,27.062,-0.16824,0.050099
10.973,6.1468,-0.19077,0.84598,28.591,52.728,26.572,-0.17819,0.050173
11.567,6.1738,-0.19675,0.67086,31.194,55.199,25.864,-0.18894,0.050352
12.239,6.2003,-0.19381,0.46295,34.625,57.385,25.055,-0.1948,0.050962
12.884,6.1932,-0.18939,0.26051,38.292,58.772,24.295,-0.19394,0.050128
13.405,6.1838,-0.18975,0.099689,41.406,59.338,23.688,-0.19022,0.048135
13.724,6.1841,-0.19095,0.0035238,43.334,59.438,23.315,-0.18715,0.046726
13.801,6.1849,-0.19125,-0.019662,43.805,59.434,23.224,-0.18633,0.04642
14.053,6.1892,-0.19197,-0.094288,45.333,59.346,22.927,-0.18348,0.045318
14.597,6.2007,-0.19159,-0.25118,48.589,58.777,22.284,-0.17638,0.043313
15.324,6.2055,-0.18872,-0.45005,52.738,57.254,21.432,-0.16543,0.040539
16.089,6.2015,-0.18741,-0.64486,56.709,54.827,20.546,-0.15373,0.037592
16.74,6.2023,-0.18754,-0.79981,59.683,52.202,19.792,-0.14485,0.03602
17.15,6.2034,-0.1872,-0.89274,61.337,50.332,19.319,-0.13997,0.03552
17.251,6.2035,-0.1871,-0.9152,61.718,49.847,19.202,-0.13887,0.035437
17.503,6.2035,-0.18678,-0.97042,62.621,48.604,18.912,-0.13623,0.035045
18.048,6.2027,-0.18638,-1.0862,64.331,45.764,18.286,-0.13142,0.033975
18.774,6.2046,-0.18649,-1.2352,66.093,41.706,17.45,-0.12682,0.032541
19.539,6.2046,-0.18565,-1.3876,67.287,37.202,16.572,-0.1241,0.03367
20.191,6.1956,-0.18481,-1.5158,67.759,33.26,15.828,-0.12331,0.035371
20.6,6.1904,-0.1855,-1.5962,67.796,30.767,15.361,-0.12351,0.035228
20.702,6.19,-0.18581,-1.6161,67.774,30.152,15.245,-0.12364,0.034547
20.954,6.1908,-0.18673,-1.6657,67.667,28.623,14.956,-0.12406,0.034447
21.498,6.2005,-0.18819,-1.7735,67.176,25.349,14.328,-0.12535,0.032833
22.224,6.2059,-0.1859,-1.9195,65.972,21.09,13.488,-0.12701,0.036443
22.989,6.1779,-0.18324,-2.0753,64.048,16.854,12.62,-0.12806,0.041511
23.641,6.1668,-0.18804,-2.2084,61.913,13.532,11.88,-0.12859,0.03828
24.051,6.1855,-0.19185,-2.2921,60.352,11.6,11.402,-0.12853,0.033946
24.152,6.1918,-0.19237,-2.3128,59.942,11.143,11.283,-0.12829,0.032892
24.404,6.2082,-0.19249,-2.3641,58.877,10.039,10.984,-0.12782,0.032632
24.948,6.2215,-0.18642,-2.4741,56.384,7.843,10.344,-0.12467,0.037871
25.675,6.1588,-0.17777,-2.6152,52.724,5.3589,9.5337,-0.11726,0.049741
26.439,6.128,-0.19039,-2.7521,48.588,3.3255,8.6835,-0.10761,0.036927
27.091,6.2261,-0.20169,-2.8578,44.867,2.0274,7.894,-0.09731,0.020596
27.501,6.2793,-0.19295,-2.9185,42.433,1.3981,7.3878,-0.088383,0.025299
27.602,6.2815,-0.18928,-2.9327,41.824,1.2645,7.2674,-0.08557,0.032725
27.854,6.2641,-0.17803,-2.9662,40.298,0.96778,6.9782,-0.079295,0.038915
28.398,6.1259,-0.16071,-3.029,37.004,0.49413,6.4158,-0.063559,0.064328
29.125,6.0251,-0.19032,-3.0909,32.689,0.14906,5.6703,-0.04406,0.035768
29.89,6.3172,-0.22472,-3.1299,28.095,0.01711,4.6744,-0.02105,-0.010915
30.542,6.4302,-0.1726,-3.1416,24.004,-0.00066847,3.8231,-0.0026323,0.032225
30.951,6.2052,-0.12888,-3.1416,21.435,0.00010767,3.44,0.00065329,0.088056
31.052,6.1285,-0.12216,-3.1416,20.817,-1.2062e-06,3.3605,-3.5327e-05,0.11308
31.247,5.9729,-0.11921,-3.1416,19.651,-1.2605e-06,3.2215,1.4476e-05,0.09895
31.674,5.7687,-0.16266,-3.1416,17.171,-1.044e-06,2.8795,-1.288e-05,0.082652
32.269,6.0733,-0.26539,-3.1416,13.773,-8.7919e-07,2.1398,1.3751e-05,-0.05198
32.94,6.8912,-0.26157,-3.1416,9.5765,-5.789e-07,0.92134,-1.4635e-05,-0.07927
33.586,6.6126,-0.067703,-3.1416,5.2136,-3.3752e-07,0.15494,1.8291e-05,0.11401
34.107,5.4855,0,-3.1416,2.0416,-1.149e-07,0.11502,-3.5529e-05,0.25236
34.425,5.038,-0.097297,-3.1416,0.38936,-3.0771e-08,0.041054,0.00013244,0.21227
34.503,5,-0.13465,-3.1416,0,0,0,0.00018968,0.18767
